160	88	25
125	830	19
95	8431	11
162	1247	18
1485	9953	0
95	5830	18
95	2981	29
104	5733	11
105	3821	22
103	5711	23
106	3710	6
101	4295	16
209	1642	10
120	9757	11
94	9007	7
143	3190	6
64	6637	13
125	1713	7
102	7407	8
2917	8756	5
139	7026	9
8920	1715	0
1029	5610	2
106	7603	24
566	9136	2
101	6567	3
891	6136	29
149	6893	18
106	8542	24
106	7254	4
1168	2236	11
105	2469	2
156	1683	4
117	8320	10
237	3500	10
111	3271	34
2822	3417	7
101	6031	4
94	9319	19
2268	5332	15
164	4593	30
2020	4404	2
4652	6984	9
130	3528	6
101	9676	21
101	2376	1
10030	5586	16
7128	4993	7
246	5067	14
122	9941	7
926	1726	10
180	1416	5
142	9631	22
110	4252	12
798	6598	26
189	9169	5
242	6751	19
230	2047	23
132	6786	19
1050	2250	23
11468	6034	5
196	8302	14
1386	2122	29
103	5832	21
815	861	6
3213	155	11
1715	7537	62
22077	7465	19
3198	4193	15
110	4828	14
105	8971	28
117	1729	19
949	268	32
115	9381	12
524	116	3
225	3068	7
247	2278	13
107	4186	7
107	2045	17
103	715	9
437	8879	42
2007	1637	22
118	6713	36
411	5539	11
1313	221	6
103	4033	18
411	1071	3
119	2252	27
223	8257	7
2575	630	13
148	738	13
107	7924	22
6034	4624	23
1237	7959	3
1323	9030	16
8650	9365	15
137	2166	15
113	1808	18
10878	7252	35
164	1046	10
95	5120	6
744	7575	3
95	9925	1
15967	392	15
335	6277	21
108	1549	60
107	4409	13
494	670	19
1416	6128	19
4139	2116	7
11201	9970	6
13	422	4
101	3493	11
94	6632	13
129	1953	1
94	9440	17
101	2667	9
94	8243	34
109	8565	16
1130	6353	20
384	3346	11
104	6346	14
229	2173	2
104	5157	9
210	3275	1
731	5464	2
207	1637	80
94	1839	8
112	9688	7
131	7017	8
108	2559	10
110	4123	14
4739	3745	38
21018	1631	3
103	9155	16
22342	2201	27
166	5477	8
102	2979	6
271	4617	37
1005	5182	0
108	8934	43
18193	5892	15
583	3894	25
107	5561	9
105	1667	1
18892	2505	30
101	5000	2
249	4557	10
751	6026	7
125	7862	4
7403	7401	4
109	5291	52
63	5517	20
112	4442	4
5201	1471	3
213	1991	23
103	3081	2
143	6122	34
105	4167	29
101	4843	8
18117	2913	7
106	7646	22
5571	6693	3
101	4878	20
418	2038	1
825	2242	0
4755	87	7
102	2752	12
629	6154	20
4416	8669	2
10469	7617	0
105	3941	4
1714	5571	0
17981	2365	2
3793	3069	3
8315	2456	3
9	8041	42
125	2455	4
167	6466	3
7496	782	15
4248	3548	12
429	940	0
101	3221	54
384	3903	7
456	6877	12
2919	1710	18
105	1540	3
447	2978	6
1087	2202	15
768	9639	3
4455	7274	10
10889	8379	27
101	5313	2
95	8898	7
64	8106	9
219	5785	36
588	3684	14
119	5144	43
95	4003	15
205	9365	25
109	2642	8
119	9727	48
1790	6314	4
106	792	7
261	6866	1
392	6735	23
4896	6881	1
169	3501	8
688	6709	14
108	8645	35
128	5504	11
102	6377	26
220	8301	0
694	1055	8
183	3581	36
102	7648	24
124	2088	39
6001	4349	32
12169	497	3
104	873	7
20307	3487	15
113	7163	15
106	7356	8
112	1213	16
215	1645	5
148	7856	43
101	992	2
103	2439	2
1365	7473	9
262	8332	8
323	3377	1
95	8197	7
104	7598	2
111	8342	23
128	9441	6
101	5978	37
121	5429	12
109	4664	5
101	9732	5
21782	9317	19
94	9710	21
101	4552	0
4450	7837	3
119	5734	16
106	635	13
23730	9514	0
1134	7683	17
252	3882	9
177	5021	18
367	8726	4
243	4496	7
2142	5638	9
213	1824	14
115	5164	8
12	7726	5
95	4356	17
109	8148	19
2528	7147	3
419	5595	10
982	7256	2
5524	9650	7
106	6769	27
