149	696	5
110	5321	41
64	5567	18
101	3470	3
18872	7197	24
1308	3479	0
1404	1227	15
10781	3967	5
204	8860	7
106	2480	4
1067	2283	12
160	4052	11
136	7748	38
151	4199	38
314	9557	3
106	6852	33
1274	3711	3
94	4565	45
109	4243	31
111	3932	5
3464	5673	16
172	3750	36
3402	2362	11
1167	3061	2
6833	5469	17
119	655	0
95	778	14
366	6193	24
1130	2644	8
2302	8216	21
19431	6063	7
5845	1360	15
165	5092	7
64	8976	29
443	1888	18
101	8588	1
136	1238	6
95	8706	23
95	5093	12
108	6417	28
105	3535	10
120	5437	16
134	5361	8
101	2183	1
101	9702	9
6829	6977	11
111	1310	10
660	3930	8
11898	7437	40
103	2987	26
3060	4100	18
95	8615	9
3874	2548	11
18591	8358	5
101	7301	9
1166	3799	8
1610	7119	0
124	2429	8
206	6186	13
17356	8687	5
109	5987	36
112	5305	10
595	7627	25
438	3410	9
120	8944	1
114	466	44
106	2934	16
6471	3451	20
359	2026	16
106	4158	1
230	74	6
63	7202	4
94	6959	13
150	4568	5
11437	7102	28
107	9266	8
145	9854	72
24043	8289	27
1115	9846	5
1107	9180	41
103	1915	48
104	2786	12
101	8459	3
101	7654	3
26643	4401	19
126	3060	18
101	6696	1
101	8430	31
1365	5791	18
24853	5017	8
95	2958	21
105	5007	13
310	9180	16
103	6817	4
434	9340	6
1393	3147	0
230	8934	21
197	7334	1
114	3615	55
2036	5594	16
131	333	0
225	649	37
230	7510	71
599	7336	36
176	5621	3
1407	6510	11
108	7768	28
95	9390	11
104	6176	2
102	8425	16
355	2332	6
11400	5704	21
4352	739	20
103	5212	34
104	9421	2
6346	3449	26
123	2192	8
117	3425	15
1629	9740	11
16290	3315	3
103	3656	20
3085	7397	14
113	172	11
262	2630	16
10108	7336	20
133	3849	42
102	6539	4
329	3090	22
95	416	0
23287	7708	21
101	1816	57
110	4051	27
106	8721	10
413	6405	25
106	7227	10
28231	6879	9
103	7847	22
95	871	0
117	237	2
67	4193	39
611	8933	14
224	1806	45
109	1541	32
109	7336	45
2871	7273	0
764	3225	10
1562	7517	5
7526	2340	13
400	2966	4
20569	4915	3
142	3147	19
101	8998	15
11731	2197	27
9644	8596	40
95	3529	17
1210	683	28
125	4880	21
105	5165	21
23664	9584	2
142	1230	28
101	8322	5
5665	5261	21
9673	5671	8
11175	1364	39
771	2048	0
101	1730	8
105	5268	46
26146	7645	5
125	3542	4
123	1272	13
95	8973	7
4731	2219	8
6537	2189	3
1679	9892	61
27977	9573	0
103	544	17
896	2381	3
104	1476	15
102	8302	18
134	6417	31
865	7183	22
11716	9807	59
109	5937	7
326	3100	17
114	9528	47
482	9248	0
122	2298	9
13	8901	11
119	3496	23
5854	9739	9
1563	4567	16
128	487	17
27171	7091	40
1534	5060	14
105	6339	6
102	8751	4
3508	6606	35
109	8116	8
14396	7774	10
104	1632	5
107	2366	14
8456	9752	104
26278	1303	2
122	284	12
1813	3791	18
19946	254	1
105	1666	21
130	202	1
655	2971	5
3775	9694	16
94	1569	12
103	6155	10
6694	2781	13
1388	2562	3
116	2863	3
64	7796	27
190	7065	14
16939	5340	0
95	2688	17
95	3406	19
392	100	12
26331	1851	5
8	573	1
105	6307	29
176	1589	8
394	8934	30
593	8357	5
121	2389	18
10992	1549	8
23130	7086	20
65	7075	2
121	8735	4
523	8221	22
6860	474	8
108	8256	36
102	9316	1
101	365	5
1871	3393	19
274	1363	8
968	1732	7
9102	7021	3
105	79	6
115	1518	26
23086	6843	6
64	8254	0
104	9679	7
1817	342	15
111	8753	12
101	9353	2
789	1552	7
162	549	7
3479	7039	38
580	1501	21
201	5276	16
101	3297	8
362	5961	14
104	9992	7
3139	7993	6
101	6057	25
116	1605	3
9359	3042	9
10716	3340	3
146	7838	42
108	4504	18
12345	1487	7
106	9662	7
95	2026	17
95	8271	0
7587	1662	4
5611	8559	17
122	7016	33
20651	3752	31
95	4789	42
107	5592	6
106	7552	52
5682	1707	25
1093	4833	6
9452	4108	35
4263	9028	3
105	6756	29
11045	7502	1
111	377	23
114	4041	7
701	9900	7
1132	6618	25
95	3274	0
284	5277	14
846	7660	5
102	5957	14
6331	7650	4
625	2537	20
270	8914	2
114	7421	65
64	4896	34
109	9642	34
95	7147	0
197	7338	0
103	3311	15
63	6338	27
8273	8660	4
529	500	24
110	5043	5
110	5409	32
1231	4355	12
110	2114	47
102	6280	21
107	6676	9
252	8303	5
101	4357	5
5083	8243	39
180	3081	106
247	3796	35
787	1631	9
106	6280	34
101	8455	2
94	533	38
155	8995	46
106	3543	25
6301	9352	15
7487	1506	7
17280	7658	25
95	8065	8
112	5117	31
108	5264	4
5622	4113	9
16900	5349	11
17091	6806	14
3228	6158	5
8648	5387	1
1102	6024	25
3866	7298	9
64	3259	0
107	8851	1
969	4587	0
101	6528	10
105	8399	13
6868	8232	27
2155	311	12
95	2252	18
105	2656	7
234	6692	9
1050	9674	16
103	2355	44
911	504	16
202	2218	48
6435	4128	45
17	1	0
5519	7642	3
1374	649	1
104	6188	3
164	5990	5
417	8409	7
117	8005	12
119	6788	2
106	5114	16
14266	3980	6
23380	8787	19
4002	4951	9
95	6126	11
114	6631	23
113	3498	17
155	6674	13
149	3925	7
102	4931	28
3639	7337	3
3889	9529	0
5150	2943	2
21943	1886	15
101	4591	9
2	554	2
21472	1856	10
662	2969	3
102	7310	7
102	4484	28
291	10	13
122	7181	88
21448	1366	11
112	5215	7
112	1078	19
95	6598	12
367	2488	25
5845	1259	49
16	9913	8
102	940	30
94	5598	42
4227	8106	7
959	3548	3
1453	3156	3
95	207	11
101	2712	53
2365	3394	5
105	3724	25
103	8199	1
95	3525	16
