462	101	8	9.41
2680	102	4	16.52
101	880	7	14.22
103	1618	9	44.76
101	1091	4	5.3
104	4647	4	22.98
1751	101	4	8.89
102	1515	4	10.68
102	1411	6	20.51
101	2221	3	6.51
120	260	3	6.26
1169	602	5	66.22
421	112	21	131.99
2946	110	3	14.41
3471	103	3	12.77
1092	110	6	25.02
368	169	3	18.16
101	2297	5	16.67
186	234	3	16.03
2817	103	4	17.02
103	2330	5	21.28
1272	558	4	50.85
2275	108	6	33.58
655	94	9	23.92
2223	115	3	17.77
95	662	6	6.66
102	5179	3	16.07
190	130	3	6.76
3234	105	3	12.52
155	110	246	1911.53
138	211	6	27.86
982	120	4	21.36
106	2018	4	15.58
66	419	3	11.81
1498	107	3	8.62
1414	101	3	3.9
430	101	9	11.09
63	205	5	8.21
211	104	24	51.91
813	102	4	6.22
2297	104	5	21.35
304	109	5	5.95
1457	179	15	216.05
101	1902	3	5.44
103	807	7	19.11
479	113	9	44.18
820	107	4	9.15
1070	129	3	18.36
1418	103	4	10.62
3933	117	3	24.34
426	103	6	7.85
95	857	5	6
117	152	17	47.43
109	774	3	5.86
182	138	4	13.01
3297	115	3	20.39
95	1067	6	11.48
103	2586	5	22.71
103	4623	3	14.29
102	2754	7	41.89
1084	95	9	25.06
1012	115	3	12.63
8	2343	3	28.1
114	225	5	9.41
101	2475	4	12.17
95	1760	3	4.54
4685	117	4	41.4
4194	123	4	40.92
186	484	4	31.27
1142	105	16	96.86
335	110	9	23.76
1894	108	9	56.95
417	107	7	15.03
103	1873	8	40.7
563	101	7	8.89
789	107	3	5.12
1506	102	7	27.65
124	2700	3	24.1
892	107	4	9.74
1713	111	7	48.02
115	373	6	21.53
104	526	4	4
3014	119	5	44.05
1021	112	8	47.76
1547	105	8	39.52
102	1772	9	45.74
143	106	37	48.82
101	6444	3	18.02
106	409	5	6.48
2214	103	3	9.12
302	119	3	7.01
1566	95	6	16.71
1010	106	4	9.68
101	196	15	6.64
885	103	4	7.19
850	190	4	35.88
3665	110	3	16.61
101	7651	3	18.02
101	1594	3	4.59
103	155	245	1569.36
1587	685	4	54.62
140	373	5	28.88
535	432	4	41.62
454	153	4	25.47
1193	102	3	5
103	2892	6	32.92
1353	107	3	7.87
3275	101	4	14.77
95	480	9	11.73
141	788	3	19.03
102	2599	5	22.08
2551	121	3	20.69
206	212	3	16.63
245	102	10	9.19
104	1390	4	10.67
1311	101	7	20.02
266	101	12	9.71
2325	107	3	11.2
7538	107	3	23.11
110	1107	9	47.33
505	110	7	21.22
748	95	19	74.39
224	106	13	19.38
651	110	6	18.88
1571	108	3	9.34
588	449	6	69.77
95	2965	3	7.44
124	240	5	18.28
102	1922	3	7.61
1593	110	4	16.68
149	14	5	10.75
1224	94	7	24.1
3226	453	3	41.47
109	6113	3	24
1318	112	4	19.84
101	579	6	6.39
380	95	8	5.45
3129	106	4	20.24
2603	95	3	6.68
1329	102	3	5.59
129	107	30	16.97
104	65	38	18.79
306	113	3	5.35
101	2734	3	7.94
1419	129	3	20.11
101	2810	3	7.94
95	1419	4	6.64
103	3910	5	29.49
95	3775	3	9.48
293	101	16	23.25
929	102	5	10.88
101	357	8	5.69
106	257	38	157.84
108	3388	4	23.69
282	102	7	5.12
174	127	58	452.66
106	3001	3	12.88
194	135	7	28.89
5158	198	4	58.82
1050	94	7	21.63
999	462	3	33.36
102	5209	4	27.34
180	94	85	340.09
115	63	29	19.47
95	148	34	12.39
713	110	4	10.13
345	115	3	6.43
584	108	4	7.43
95	320	8	3.89
425	105	5	6.32
2021	103	4	13.88
1096	103	6	17.6
1619	108	7	35.57
95	3013	3	8.35
244	154	3	12.69
101	1121	4	5.63
902	118	3	13.21
1886	102	3	7.61
261	596	4	37.58
947	101	6	10.87
832	111	21	172.33
106	1328	3	7.09
101	1444	7	21.03
6053	2132	3	61.12
106	1269	7	28.38
1287	107	6	24.63
1079	102	3	4.48
102	1064	3	4.48
108	2362	9	70.32
210	102	77	363.7
104	1120	6	18.31
1037	106	5	14.33
95	396	20	48.27
104	1240	5	14.43
109	285	29	129.3
1149	106	3	6.18
836	232	6	63.72
95	7267	3	17.47
95	1213	7	17.93
786	110	3	6.57
730	125	3	15.63
109	1484	4	15.01
104	529	8	17.41
4213	227	3	38.71
1091	112	3	11.71
115	531	3	8.95
1228	145	4	32.69
2861	115	3	19.38
1046	102	3	4.25
103	1473	12	68.78
101	281	15	19.18
1798	189	3	30.06
2267	102	5	20.65
184	102	12	5.97
1655	111	10	80.1
643	101	6	7.2
2498	102	3	9.45
2936	121	3	21.55
1467	107	5	19.86
95	1775	5	12.68
101	2400	3	7.17
750	513	4	45.81
969	449	4	46.7
115	2145	4	26.48
102	1245	3	5.28
13	402	3	13.36
621	112	8	39.19
761	103	5	9.66
2317	105	4	16.02
983	95	4	4.16
106	1072	3	5.91
101	609	10	20.72
103	2100	3	8.51
728	103	4	5.92
135	164	7	23.25
525	106	5	8.45
102	552	9	21.85
113	710	3	10.11
2422	123	3	23.02
5763	105	3	17.42
190	359	4	28.6
108	517	39	289.09
614	101	16	49.77
4628	121	3	25.38
483	102	21	85.46
95	1084	10	30.39
103	2601	6	30.53
357	275	3	23.45
2262	153	4	39.27
1843	101	4	9.56
732	101	5	5.54
239	109	6	5.67
109	1048	4	11.81
541	1220	3	35.82
95	6965	3	17.47
135	545	3	15.3
386	516	3	28.39
124	2089	3	21.82
135	346	12	84.02
469	103	9	19.91
215	138	3	10
103	1009	7	22.18
178	214	5	29.94
137	512	7	50.35
3199	105	5	28.18
2215	105	6	30.49
1492	885	3	39.99
1009	108	4	11.12
106	713	7	19.97
14	676	3	16.8
101	984	5	7.78
1546	103	4	11.74
101	941	6	10.87
501	103	7	13.1
5776	110	3	20.36
7798	105	3	21.87
142	108	29	35.84
95	3366	3	9.48
617	107	5	11.1
8	3376	6	79.14
111	165	19	51.37
987	104	6	16.53
105	377	8	14.19
395	101	12	18.74
120	104	67	25.72
257	111	63	475.75
103	3567	4	20.35
104	612	11	34.7
298	95	27	64.59
5373	112	3	24.15
101	2084	3	5.94
103	701	23	125.37
154	125	4	5.69
63	476	3	8.17
451	13	6	36.69
555	107	5	10.35
4355	1517	3	51.6
3167	1579	3	49.23
103	2416	5	22.71
4215	5143	3	62.11
1428	2188	3	45.68
103	2552	3	9.81
755	246	5	50.68
590	107	3	3.88
412	101	8	7.88
791	102	4	5.97
103	5237	3	16.46
95	1718	4	8.25
103	3186	3	11.59
101	4502	3	11.49
287	109	6	8.12
3848	107	6	46.23
146	183	11	62.89
294	16	3	18.22
1657	94	4	11.66
102	1192	9	35.9
137	311	3	13.03
486	462	3	29.42
106	886	3	4.99
101	740	6	8.45
95	3499	3	9.48
602	119	3	11.14
452	106	10	27.32
106	946	5	13.45
106	1021	3	5.66
934	110	3	7.42
2631	94	3	10.07
5362	103	3	16.46
2023	95	9	42.19
104	4625	3	14.33
103	1715	3	7.48
2976	249	3	36.9
102	3682	3	12.39
2404	101	5	18.07
4525	104	3	14.33
2168	1110	3	44.22
2024	109	3	11.41
325	104	6	5.01
297	134	3	11.37
106	2561	4	17.53
104	737	5	9.41
662	101	5	4.81
103	5562	3	16.46
521	113	4	13.55
577	101	6	6.39
799	107	4	9.15
1612	101	3	4.59
103	2371	3	9.81
444	103	5	5.43
165	95	116	368.88
5259	143	3	33.82
127	152	11	35.46
830	94	11	40.1
1365	162	13	162.72
101	1678	3	4.99
95	2421	3	6.68
286	130	3	10.49
1240	110	6	27.14
1638	184	3	28.71
345	110	19	80.27
1980	103	4	13.88
713	115	4	16.39
1693	95	3	4.54
1187	112	11	79.29
218	103	9	5.5
440	923	3	32.82
2077	106	4	15.58
102	2461	3	9.45
4455	64	4	33.97
101	1112	6	13.02
103	520	8	17.32
64	102	74	5.06
103	445	9	18.8
484	2997	3	42.02
259	107	6	5.56
124	1531	3	19.72
101	553	6	6.14
1020	101	5	8.18
103	1205	4	9.24
101	485	13	28.43
1196	101	10	34.69
235	185	3	16.02
104	304	13	25.74
252	103	7	4
1293	103	4	10.12
989	106	9	36.63
1985	112	4	23.87
95	1136	7	16.31
523	110	5	12.14
95	1212	5	9.29
103	5751	4	27.86
185	63	5	6.58
101	2891	3	7.94
1785	117	9	79.72
1406	115	5	30.11
6640	143	3	38.32
432	509	3	29.05
95	6075	3	17.47
2095	107	3	10.57
3739	121	5	48.09
3151	101	5	21.85
1976	101	3	5.94
101	1425	6	15.88
104	3983	3	14.33
4444	101	3	11.49
891	403	3	31.95
906	112	5	23.04
104	1113	3	5.08
1603	110	4	16.68
759	95	15	48.74
95	525	16	41.11
1743	115	5	32.62
1731	108	6	29.22
656	220	4	35.93
780	105	7	20.65
1720	110	3	11.11
102	2327	7	35.83
1002	94	8	26.29
102	879	13	55.05
113	180	16	52.26
850	145	7	60.33
1616	645	4	54.11
109	3123	3	14.59
1051	103	3	4.8
2032	103	3	8.51
4914	1806	3	55.35
201	107	29	84.24
283	101	11	8.83
1261	101	5	10.08
132	571	3	15.19
95	479	11	18.25
77	102	12	19.72
3616	111	5	41.64
6019	121	3	32.09
3508	104	3	12.81
95	1195	4	5.41
103	3736	5	29.49
1270	112	4	19.34
143	119	6	5.17
1130	103	6	18.24
107	846	5	13.97
111	2361	3	16.87
102	1713	10	54.51
63	1794	3	16.11
101	201	64	196.01
163	14	7	23.17
95	3934	3	10.96
3589	336	4	57.67
113	1120	3	12.75
1533	105	4	12.34
519	150	6	44.57
9	106	17	9.36
103	1190	14	75.95
1742	108	8	45.39
273	63	4	8.31
95	3737	3	9.48
101	502	12	24.87
213	101	24	32.49
121	466	6	29.22
1126	101	5	9.06
115	202	7	15.92
918	64	3	11.45
542	129	6	37.37
101	2803	3	7.94
647	1117	3	36.14
666	109	4	8.7
460	104	9	19.64
116	222	3	4.03
103	2718	4	17.02
975	113	3	11.89
103	2838	8	55.73
95	228	23	29.46
127	606	11	85.51
113	362	3	6.26
102	623	4	4.53
4370	108	3	16.79
279	103	9	10.51
102	835	10	34.78
103	429	5	5.13
95	2968	3	8.35
783	232	4	38.18
2026	128	3	22.44
101	1159	7	18.25
1106	106	3	6.18
244	63	8	23.76
109	1014	4	11.81
126	105	387	1962.86
1305	110	4	14.98
1001	95	8	19.3
109	970	3	6.93
144	2348	3	26.99
3127	110	4	23.64
1209	95	12	47.63
101	1844	3	5.44
2869	101	3	7.94
2484	102	3	9.45
103	983	5	11.87
340	107	5	5.73
8	793	3	20.77
6076	64	3	29.21
294	1307	3	32.15
101	1010	6	11.88
101	1078	8	21.46
103	1633	3	7.04
1819	107	10	66.33
118	109	65	55.79
664	113	4	15.26
592	101	8	12.76
339	177	5	36.17
486	101	7	7.5
3171	104	3	11.63
611	102	5	7.47
2188	110	4	19.84
3364	117	3	22.76
120	133	10	11.75
1449	14	5	41.94
5635	105	3	17.42
5108	112	3	24.15
101	2242	4	11.17
349	103	10	17.56
134	95	49	12.39
105	408	13	38.36
101	2430	4	12.17
109	1917	3	10.84
101	4467	3	11.49
101	2498	6	24.88
2582	128	4	34.71
5	103	7	12.8
105	159	91	348.57
335	115	6	20.41
264	95	10	4.38
1727	94	5	17.08
6557	1309	3	57.5
106	974	5	13.88
101	651	5	4.59
123	139	21	77.92
95	3484	3	9.48
364	102	6	5.46
119	649	3	11.48
353	101	9	7.87
13	582	5	31.45
649	64	4	14.79
102	7293	3	20.5
733	102	16	68.86
95	2254	3	6.03
101	1981	4	10.31
101	1921	4	9.56
101	2101	6	21.38
123	1457	5	38.38
101	2025	5	15.48
102	375	20	63.77
103	2579	4	15.81
117	331	9	41.25
104	1843	3	8
845	143	4	28.85
104	1776	6	24.37
141	9	3	5.42
1012	110	7	30.91
4812	105	3	17.42
574	103	5	7.52
2410	103	6	30.53
3187	115	3	20.39
143	120	8	10.97
221	115	43	273.17
807	106	3	4.59
107	695	3	4.45
3338	110	4	23.64
1724	148	3	25.19
2812	103	4	17.02
103	1486	15	104.51
1566	63	3	15.08
103	1442	5	15.64
101	254	10	4.78
141	3157	3	28.46
173	715	4	32.89
396	181	4	28.94
833	102	4	6.48
102	5497	4	27.34
133	250	4	15.21
104	394	9	16.65
109	1411	8	42.13
395	1029	3	32.54
101	3124	3	8.86
6385	107	3	23.11
102	4225	3	13.91
104	1227	6	19.71
1771	101	5	13.52
103	3079	4	18.49
408	102	6	6.88
95	364	19	39.66
113	289	7	22.41
386	606	4	41.66
8	533	3	18.33
770	175	11	119.78
101	1475	6	16.76
106	1238	7	28.38
95	2650	3	7.44
7614	110	3	24.83
95	4687	3	13.08
2396	94	4	15.06
2944	105	5	26.02
3932	117	5	51.75
1090	105	9	37.57
102	774	6	13.38
224	120	3	4.92
2306	95	3	6.03
1189	115	7	44.93
101	7480	3	18.02
133	3959	5	60.33
3982	95	3	10.96
1277	9	3	23.89
2551	107	3	11.91
162	109	12	8.9
685	101	6	7.8
825	107	3	5.5
103	2719	4	17.02
106	3860	3	14.07
103	2771	3	10.62
109	448	4	6.09
459	65	11	81.15
2018	109	6	33.04
115	210	12	42.14
1162	129	10	92.17
106	5139	3	17.79
129	121	199	1401.76
101	2690	4	13.34
2969	117	6	56.37
4181	123	4	40.92
149	249	3	12.65
818	103	5	10.33
